HkeyDateTime,Status
120250526034010,Stopped
20250526034113,Open
20250526034201,Close
20250526034206,Close
20250526034212,Close
20250526034213,Close
20250526034214,Close
20250526034217,Close
20250526034219,Open
20250526034220,Open
20250526034222,Open
20250526034355,Open
20250526034453,Close
20250526034505,Close
20250526034505,Open
20250526034517,Open
20250526034524,Close
20250526034527,Close
20250526034611,Close
20250526034613,Close
20250526034616,Open
20250526034617,Open
20250526034621,Open
20250526034630,Close
20250526034646,Close
20250526034650,Close
20250526034651,Close
320250526034704,Normal
20250526034710,Close
20250526034719,Close
20250526034721,Close
20250526034751,Close
20250526034753,Close
20250526034756,Close
20250526034759,Close
20250526034759,Close
20250526034806,Close
20250526035137,Running
20250526035147,Open
20250526035513,Open
20250526035702,Alarm
20250526040027,Close
320250526040432,Normal
320250526040552,Normal
20250526040829,Open
20250526041111,Normal
320250526041546,Normal
20250526041747,Running
20250526041924,Close
20250526042257,Open
320250526042502,Alarm
20250526042604,Close
20250526042604,Close
20250526042605,Close
20250526042605,Close
320250526042825,Normal
20250526042910,Open
320250526042915,Alarm
20250526043032,Event
20250526043044,Close
20250526043046,Close
20250526043105,Close
20250526043125,Open
20250526043131,Open
20250526043131,Open
20250526043134,Open
20250526043139,Open
20250526043140,Open
20250526043145,Open
20250526043146,Close
20250526043208,Open
20250526043210,Open
20250526043211,Open
20250526043212,Open
20250526043212,Close
20250526043213,Close
20250526043214,Close
20250526043214,MidTravel
20250526043215,Open
20250526043215,Open
20250526043215,Open
20250526043259,Open
20250526043556,Normal
20250526044255,Event
320250526045011,Normal
20250526045021,Close
20250526045058,Close
20250526045140,Close
320250526045152,Alarm
20250526045454,Running
20250526045730,Close
20250526040027,Open
320250526040432,Normal
320250526040552,Normal
20250526040829,Close
20250526041145,Open
320250526041547,Normal
20250526041809,Event
20250526041924,Open
20250526042257,Close
20250526042603,Open
20250526042604,Open
20250526042604,Open
20250526042605,Open
20250526042606,Open
320250526042825,Normal
20250526042910,Close
320250526042915,Alarm
20250526043033,Open
20250526043044,Open
20250526043046,Open
20250526043112,Open
20250526043125,Close
20250526043131,Close
20250526043131,Close
20250526043134,Close
20250526043139,Close
20250526043140,Close
20250526043145,Close
20250526043146,MidTravel
20250526043208,Close
20250526043210,Close
20250526043211,Close
20250526043212,Close
20250526043212,MidTravel
20250526043213,Open
20250526043214,Open
20250526043214,Close
20250526043215,Close
20250526043215,Close
20250526043215,Close
20250526043259,Close
220250526043811,Normal
320250526044457,Normal
320250526045011,Normal
20250526045057,Open
20250526045059,Open
20250526045148,Open
320250526045157,Normal
20250526045517,Event
320250526040127,Alarm
20250526040524,Running
20250526040620,Close
20250526040947,Close
20250526041147,Open
320250526041649,Alarm
220250526041905,Event
20250526042113,Normal
20250526042329,Stopped
20250526042604,Open
20250526042604,Open
20250526042604,Open
20250526042605,Open
20250526042606,Open
20250526042830,Close
20250526042910,Close
320250526042915,Normal
20250526043033,Open
20250526043045,Open
20250526043047,Open
120250526043115,Stopped
20250526043126,Close
20250526043131,Close
20250526043131,Close
20250526043138,Close
20250526043139,Close
20250526043140,Close
20250526043146,Close
20250526043146,Close
20250526043210,Close
20250526043210,Close
20250526043211,Close
20250526043212,Close
20250526043213,Close
20250526043213,Open
20250526043214,Open
20250526043214,Close
20250526043215,Close
20250526043215,Close
20250526043257,Close
20250526043314,Close
320250526043952,Normal
320250526044514,Alarm
20250526045020,Close
20250526045057,Open
20250526045100,Open
20250526045152,Open
120250526045336,Running
20250526045651,Open
320250526040127,Alarm
320250526040535,Alarm
320250526040719,Alarm
320250526041019,Alarm
20250526041147,Close
320250526041649,Alarm
220250526041905,Stopped
320250526042158,Alarm
20250526042333,Normal
20250526042604,Close
20250526042604,Close
20250526042604,Close
20250526042605,Close
20250526042606,Close
20250526042910,Open
20250526042911,Open
320250526042923,Alarm
20250526043033,Close
20250526043045,Close
20250526043047,Close
20250526043121,Open
20250526043126,Open
20250526043131,Open
20250526043132,Open
20250526043139,Open
20250526043139,Open
20250526043142,Open
20250526043146,MidTravel
20250526043157,Open
20250526043210,Open
20250526043210,Open
20250526043211,Open
20250526043212,MidTravel
20250526043213,Open
20250526043213,Close
20250526043214,Close
20250526043214,Open
20250526043215,Open
20250526043215,Open
20250526043258,Open
20250526043314,Open
320250526044144,Alarm
320250526044514,Alarm
20250526045021,Open
20250526045057,Close
20250526045101,Close
20250526045152,Close
20250526045401,Open
20250526045651,Close
20250526040027,Close
20250526040154,Close
20250526040546,Event
320250526040741,Normal
20250526041106,Stopped
20250526041157,Close
320250526041649,Normal
20250526041924,Close
20250526042224,Open
320250526042458,Normal
20250526042604,Close
20250526042604,MidTravel
20250526042604,Close
20250526042605,Close
20250526042606,Close
20250526042910,Open
20250526042911,Open
20250526042951,Normal
20250526043033,Close
20250526043046,Close
20250526043059,Close
20250526043125,Open
